index	Year	Type	Country	Activity	Injury	Fatal	NOT Fatal	Boating	Invalid
0	2018	Boating	USA	Paddling	No injury to occupant, outrigger canoe and paddle damaged	0	0	1	0
1	2018	Unprovoked	USA	Standing	Minor injury to left thigh	0	1	0	0
2	2018	Invalid	USA	Surfing	Injury to left lower leg from surfboard skeg	0	0	0	1
3	2018	Unprovoked	AUSTRALIA	Surfing	Minor injury to lower leg	0	1	0	0
4	2018	Provoked	MEXICO	Free diving	Lacerations to leg & hand shark PROVOKED INCIDENT	0	1	0	0
5	2018	Unprovoked	AUSTRALIA	Kite surfing	No injury, board bitten	0	1	0	0
6	2018	Unprovoked	BRAZIL	Swimming	FATAL	1	0	0	0
7	2018	Unprovoked	USA	Fishing	Minor injury to foot. PROVOKED INCIDENT	0	1	0	0
8	2018	Unprovoked	USA	Walking	Lower left leg bitten	0	1	0	0
9	2018	Unprovoked	USA	Standing	Minor injury to foot	0	1	0	0
10	2018	Provoked	AUSTRALIA	Feeding sharks	Minor bite to hand by captive shark. PROVOKED INCIDENT	0	1	0	0
11	2018	Unprovoked	USA	Boogie boarding	Injuries to lower right leg and foot	0	1	0	0
12	2018	Unprovoked	USA	Swimming	Severe bite to right forearm	0	1	0	0
13	2018	Invalid	ENGLAND	Fishing	Injured by teeth of a dead porbeagle shark he was tossing overboard.	0	0	0	1
14	2018	Provoked	AUSTRALIA	Feeding sharks	Shallow lacerations to finger PROVOKED INCIDENT	0	1	0	0
15	2018	Unprovoked	SOUTH AFRICA	Surfing	Minor injury, marks on board	0	1	0	0
16	2018	Questionable	AUSTRALIA	Surfing	No injury, surfboard damaged	0	0	0	0
17	2018	Unprovoked	THAILAND	Swimming	Minor injury to ankle	0	1	0	0
18	2018	Unprovoked	COSTA RICA	Scuba diving	No injury, shark bit scuba gear	0	1	0	0
19	2018	Unprovoked	AUSTRALIA	Surfing	No injury, knocked off board by shark	0	1	0	0
20	2018	Questionable	AUSTRALIA	Surfing	No injury	0	0	0	0
21	2018	Unprovoked	AUSTRALIA	Surfing	No injury, knocked off board by shark	0	1	0	0
22	2018	Unprovoked	AUSTRALIA	Surfing	No injury, shark struck his leg	0	1	0	0
23	2018	Unprovoked	MALDIVES	Fishing	5-inch cut to hand	0	1	0	0
24	2018	Unprovoked	SOUTH AFRICA	Paddle-skiing	No injury, shark bit hole in ski	0	1	0	0
25	2018	Unprovoked	USA	Body boarding	Lacerations to right lower leg	0	1	0	0
26	2018	Unprovoked	THAILAND	Swimming	Lacerations to foot and ankle	0	1	0	0
27	2018	Unprovoked	BRAZIL	Swimming	Multiple severe injuries to arms and leg, leg subsequently surgically amputated	0	1	0	0
28	2018	Unprovoked	AUSTRALIA	Surfing	Laceration to right thigh	0	1	0	0
29	2018	Unprovoked	AUSTRALIA	Surfing	Lacerations to legs	0	1	0	0
30	2018	Unprovoked	BAHAMAS	Surfing	No Injury. Shark swam away with the surf board	0	1	0	0
31	2018	Invalid	BRAZIL	Fishing	Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. 	0	0	0	1
32	2018	Unprovoked	NEW CALEDONIA	Windsurfing	No injury, shark bit board	0	1	0	0
33	2018	Unprovoked	BAHAMAS	Swimming	2 puncture wounds to left foot, abrasion to right foot	0	1	0	0
34	2018	Unprovoked	SOUTH AFRICA	Surfing	Lacerations to left knee & lower leg	0	1	0	0
35	2018	Unprovoked	USA	Stand-Up Paddleboarding	Injuries to right leg & hand	0	1	0	0
36	2018	Unprovoked	AUSTRALIA	Wading	Minor injuries to legs	0	1	0	0
37	2018	Unprovoked	AUSTRALIA	Swimming	No injury, said to have been charged by sharks several times	0	1	0	0
38	2018	Unprovoked	AUSTRALIA	Surfing	Minor injury, ankle grazed	0	1	0	0
39	2018	Unprovoked	SOUTH AFRICA	Scuba Diving	 The shark & man simply collided; neither were injured	0	1	0	0
40	2018	Unprovoked	AUSTRALIA	Swimming	Laceratons to right leg & foot	0	1	0	0
41	2018	Provoked	AUSTRALIA	Kayak fishing for sharks	Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT	0	1	0	0
42	2018	Unprovoked	AUSTRALIA	Walking	Puncture wounds to leff foot & lower leg	0	1	0	0
43	2018	Invalid	AUSTRALIA	Swimming	Collision / No injury, no attack	0	0	0	1
44	2018	Invalid	BRAZIL	Cleaning fish	Lacerations to 4 toes of right foot	0	0	0	1
45	2018	Unprovoked	ECUADOR	Snorkeling	Injuries to right foot	0	1	0	0
46	2018	Invalid	AUSTRALIA	Spearfishing	"No injury no attack. This is considerd an ""encounter"""	0	0	0	1
47	2018	Unprovoked	AUSTRALIA		Injuries to right leg	0	1	0	0
48	2018	Unprovoked	NEW CALEDONIA	Spearfishing	Injuries to abdomen and arm	0	1	0	0
49	2018	Unprovoked	AUSTRALIA	Diving	Severe laceration to left forearm	0	1	0	0
50	2018	Unprovoked	AUSTRALIA	Free diving	No injury, shark took his swimfin	0	1	0	0
51	2018	Unprovoked	BRAZIL	Surfing	Minor injury to left forearm	0	1	0	0
52	2018	Unprovoked	AUSTRALIA	Surfing	Foot bitten	0	1	0	0
53	2017	Unprovoked	USA	Surfing	Severe lacerations to left thigh & knee	0	1	0	0
54	2017	Unprovoked	USA	Surfing	Foot bitten	0	1	0	0
55	2017	Provoked	MALAYSIA	Fishing / Wading	Minor injury to thigh, PROVOKED INCIDENT	0	1	0	0
56	2017	Unprovoked	BAHAMAS	Snorkeling	Minor injury to arm	0	1	0	0
57	2017	Unprovoked	COSTA RICA	Scuba Diving	Serious injury to leg	0	1	0	0
58	2017	Unprovoked	COSTA RICA	Scuba diving	FATAL	1	0	0	0
59	2017	Sea Disaster	LIBYA	2 boats capsized	FATAL	1	0	0	0
60	2017	Unprovoked	USA	Spearfishing	Right leg bitten	0	1	0	0
61	2017	Unprovoked	USA	Surfing	Heel bitten	0	1	0	0
62	2017	Unprovoked		Surfing	Puncture wounds to feet	0	1	0	0
63	2017	Unprovoked	AUSTRALIA	Surfing	Puncture wounds to left shoulder	0	1	0	0
64	2017	Unprovoked	CUBA	Night bathing	FATAL	1	0	0	0
65	2017	Unprovoked	AUSTRALIA	Snorkeling	Calf injured	0	1	0	0
66	2017	Unprovoked	AUSTRALIA	Surfing	Minor injury to foot	0	1	0	0
67	2017	Unprovoked	USA	Stand-Up Paddleboarding	No injury but shark bit SUP	0	1	0	0
68	2017	Unprovoked	MAURITIUS	Swimming	Minor injury to foot	0	1	0	0
69	2017	Unprovoked	USA	Surfing 	Lacerations to left foot	0	1	0	0
70	2017	Unprovoked	USA	Swimming	Severe lacerations to left hand & wrist	0	1	0	0
71	2017	Unprovoked	AUSTRALIA	Kayaking / Fishing	Minor injuries	0	1	0	0
72	2017	Unprovoked	NEW ZEALAND	Kayaking	No injury, shark shook kayak x3 	0	1	0	0
73	2017	Unprovoked	USA	Swimming	Puncture wounds & lacerations to foot	0	1	0	0
74	2017	Unprovoked	USA	Surfing	Lacerations to left hand	0	1	0	0
75	2017	Unprovoked	USA	Snorkeling	Abrasions	0	1	0	0
76	2017	Invalid	SOUTH AFRICA	Scuba Diving	FATAL	0	0	0	1
77	2017	Unprovoked	USA	Surfing	Lacerations to lower left leg and foot	0	1	0	0
78	2017	Unprovoked	AUSTRALIA	Surfing	No injury, board damaged by shark	0	1	0	0
79	2017	Invalid	USA	Surfing	Lacerations to right ankle, foot & toe	0	0	0	1
80	2017	Unprovoked	USA	Surfing	Laceration to upper arm	0	1	0	0
81	2017	Unprovoked	USA	Surfing	Minor lacerations to sole of left foot	0	1	0	0
82	2017	Unprovoked	SPAIN	Body surfing	Lacerations to right foot	0	1	0	0
83	2017	Unprovoked	USA	Surfing	Lacerations to left foot	0	1	0	0
84	2017	Invalid	SOUTH AFRICA	Scuba Diving	FATAL, but death was probably due to drowning	0	0	0	1
85	2017	Questionable	SAMOA	Fishing	Injuries to hands and legs	0	0	0	0
